Timer precision: 41 ns
unnesting_execution            fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ automatic                                 │               │               │               │         │
│  ├─ anti_or_nulls            900.8 µs      │ 1.242 ms      │ 924.8 µs      │ 963.3 µs      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ derived_limit            18.79 ms      │ 20.88 ms      │ 19.37 ms      │ 19.55 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             26          │ 26            │ 26            │ 26            │         │
│  │                             22.75 KB    │ 22.75 KB      │ 22.75 KB      │ 22.75 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             302         │ 302           │ 302           │ 302           │         │
│  │                             417.6 KB    │ 417.6 KB      │ 417.6 KB      │ 417.6 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             302         │ 302           │ 302           │ 302           │         │
│  │                             418.7 KB    │ 418.7 KB      │ 418.7 KB      │ 418.7 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             9           │ 9             │ 9             │ 9             │         │
│  │                             1.091 KB    │ 1.091 KB      │ 1.091 KB      │ 1.091 KB      │         │
│  ├─ exists_distinct_16       6.614 ms      │ 8.93 ms       │ 6.886 ms      │ 7.156 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.64 KB      │ 13.77 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 300           │ 300.5         │ 300.2         │         │
│  │                             38.66 KB    │ 38.66 KB      │ 38.93 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 295           │ 295.5         │ 295.2         │         │
│  │                             34.28 KB    │ 34.28 KB      │ 34.42 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_distinct_256      5.475 ms      │ 5.977 ms      │ 5.511 ms      │ 5.575 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.77 KB      │ 13.77 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 301           │ 300.5         │ 300.2         │         │
│  │                             38.66 KB    │ 38.93 KB      │ 38.93 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 296           │ 295.5         │ 295.2         │         │
│  │                             34.28 KB    │ 34.42 KB      │ 34.42 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_high_selectivity  6.244 ms      │ 6.465 ms      │ 6.317 ms      │ 6.332 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.64 KB      │ 13.83 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 300           │ 301           │ 300.2         │         │
│  │                             38.66 KB    │ 38.66 KB      │ 39.06 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 295           │ 296           │ 295.2         │         │
│  │                             34.28 KB    │ 34.28 KB      │ 34.49 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_indexed           5.615 ms      │ 5.96 ms       │ 5.791 ms      │ 5.798 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.77 KB    │ 13.64 KB      │ 13.77 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 300           │ 300.5         │ 300.2         │         │
│  │                             38.93 KB    │ 38.66 KB      │ 38.93 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 295           │ 295.5         │ 295.2         │         │
│  │                             34.42 KB    │ 34.28 KB      │ 34.42 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
