Timer precision: 42 ns
unnesting_execution          fastest       │ slowest       │ median        │ mean          │ samples │ iters
╰─ disabled                                │               │               │               │         │
   ╰─ scalar_sum_inequality  56.23 ms      │ 59.73 ms      │ 57.06 ms      │ 57.56 ms      │ 10      │ 10
                             max alloc:    │               │               │               │         │
                               1           │ 1             │ 1             │ 1             │         │
                               1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
                             alloc:        │               │               │               │         │
                               255         │ 255           │ 255           │ 255           │         │
                               375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
                             dealloc:      │               │               │               │         │
                               255         │ 255           │ 255           │ 255           │         │
                               375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │

